year,stateabbrev,WRLURI,planner,luPcCum,roll2005t
2007,"CA",.556469,12,2.228993,
2008,"CA",.556469,12,2.474974,
2009,"CA",.556469,12,2.649165,
2010,"CA",.556469,12,2.853266,
1880,"CO",.9265337,12,,
1900,"CO",.9265337,12,,
1920,"CO",.9265337,12,,
1929,"CO",.9265337,12,,
1930,"CO",.9265337,12,,
1931,"CO",.9265337,12,,
1932,"CO",.9265337,12,,
1933,"CO",.9265337,12,,
1934,"CO",.9265337,12,,
1935,"CO",.9265337,12,,
1936,"CO",.9265337,12,,
1937,"CO",.9265337,12,,
1938,"CO",.9265337,12,,
1939,"CO",.9265337,12,,
1940,"CO",.9265337,12,0,
1941,"CO",.9265337,12,0,
1942,"CO",.9265337,12,0,
1943,"CO",.9265337,12,0,
1944,"CO",.9265337,12,0,
1945,"CO",.9265337,12,0,
1946,"CO",.9265337,12,0,
1947,"CO",.9265337,12,0,
1948,"CO",.9265337,12,.1759479,
1949,"CO",.9265337,12,.1583531,
1950,"CO",.9265337,12,.2338248,
1951,"CO",.9265337,12,.3092396,
1952,"CO",.9265337,12,.3092396,
1953,"CO",.9265337,12,.3092396,
1954,"CO",.9265337,12,.3762189,
1955,"CO",.9265337,12,.4409019,
1956,"CO",.9265337,12,.4409019,
1957,"CO",.9265337,12,.4409019,
1958,"CO",.9265337,12,.2825488,
1959,"CO",.9265337,12,.5164669,
1960,"CO",.9265337,12,.4409952,
1961,"CO",.9265337,12,.5282702,
1962,"CO",.9265337,12,.5809295,
1963,"CO",.9265337,12,.6325824,
1964,"CO",.9265337,12,.5656031,
1965,"CO",.9265337,12,.551298,
1966,"CO",.9265337,12,.6509492,
1967,"CO",.9265337,12,.6996584,
1968,"CO",.9265337,12,.6996584,
1969,"CO",.9265337,12,.5580764,
1970,"CO",.9265337,12,.6929697,
1971,"CO",.9265337,12,.7039286,
1972,"CO",.9265337,12,.9007936,
1973,"CO",.9265337,12,.9292752,
1974,"CO",.9265337,12,1.086674,
1975,"CO",.9265337,12,1.268302,
1976,"CO",.9265337,12,1.282622,
1977,"CO",.9265337,12,1.419372,
1978,"CO",.9265337,12,1.527803,
1979,"CO",.9265337,12,1.751347,
1980,"CO",.9265337,12,1.650832,
1981,"CO",.9265337,12,1.77941,
1982,"CO",.9265337,12,1.758528,
1983,"CO",.9265337,12,1.901776,
1984,"CO",.9265337,12,1.965198,
1985,"CO",.9265337,12,1.920182,
1986,"CO",.9265337,12,2.022431,
1987,"CO",.9265337,12,1.898312,
1988,"CO",.9265337,12,2.280335,
1989,"CO",.9265337,12,2.147615,
1990,"CO",.9265337,12,2.294636,
1991,"CO",.9265337,12,2.021933,
1992,"CO",.9265337,12,2.022129,
1993,"CO",.9265337,12,2.047796,
1994,"CO",.9265337,12,1.988085,
1995,"CO",.9265337,12,1.95789,
1996,"CO",.9265337,12,1.971264,
1997,"CO",.9265337,12,2.133899,
1998,"CO",.9265337,12,1.837778,
1999,"CO",.9265337,12,1.749269,
2000,"CO",.9265337,12,1.752758,
2001,"CO",.9265337,12,1.926593,
2002,"CO",.9265337,12,1.853644,
2003,"CO",.9265337,12,1.847488,
2004,"CO",.9265337,12,1.817525,
2005,"CO",.9265337,12,1.747088,25
2006,"CO",.9265337,12,1.708155,
2007,"CO",.9265337,12,1.796428,
2008,"CO",.9265337,12,1.847507,
2009,"CO",.9265337,12,1.933862,
2010,"CO",.9265337,12,1.887612,
1880,"CT",.3182232,15,,
1900,"CT",.3182232,15,,
1920,"CT",.3182232,15,,
1929,"CT",.3182232,15,,
1930,"CT",.3182232,15,,
1931,"CT",.3182232,15,,
1932,"CT",.3182232,15,,
1933,"CT",.3182232,15,,
1934,"CT",.3182232,15,,
1935,"CT",.3182232,15,,
1936,"CT",.3182232,15,,
1937,"CT",.3182232,15,,
1938,"CT",.3182232,15,,
1939,"CT",.3182232,15,,
1940,"CT",.3182232,15,0,
1941,"CT",.3182232,15,0,
1942,"CT",.3182232,15,0,
1943,"CT",.3182232,15,0,
1944,"CT",.3182232,15,0,
1945,"CT",.3182232,15,0,
1946,"CT",.3182232,15,0,
1947,"CT",.3182232,15,0,
1948,"CT",.3182232,15,.0551694,
1949,"CT",.3182232,15,.0496524,
1950,"CT",.3182232,15,.0496524,
1951,"CT",.3182232,15,.1482718,
1952,"CT",.3182232,15,.1482718,
1953,"CT",.3182232,15,.1943972,
1954,"CT",.3182232,15,.1943972,
1955,"CT",.3182232,15,.2378755,
1956,"CT",.3182232,15,.3674092,
1957,"CT",.3182232,15,.3674092,
1958,"CT",.3182232,15,.4404059,
1959,"CT",.3182232,15,.5196766,
1960,"CT",.3182232,15,.5982929,
1961,"CT",.3182232,15,.6543527,
1962,"CT",.3182232,15,.9188031,
1963,"CT",.3182232,15,.9460182,
1964,"CT",.3182232,15,1.053238,
1965,"CT",.3182232,15,1.149766,
1966,"CT",.3182232,15,1.05468,
1967,"CT",.3182232,15,1.293181,
1968,"CT",.3182232,15,1.339222,
1969,"CT",.3182232,15,1.359952,
1970,"CT",.3182232,15,1.380059,
1971,"CT",.3182232,15,1.323373,
1972,"CT",.3182232,15,1.0915,
1973,"CT",.3182232,15,1.050742,
1974,"CT",.3182232,15,1.008546,
1975,"CT",.3182232,15,.9982105,
1976,"CT",.3182232,15,.996168,
1977,"CT",.3182232,15,.8547944,
1978,"CT",.3182232,15,.7184154,
1979,"CT",.3182232,15,.7474515,
1980,"CT",.3182232,15,.777214,
1981,"CT",.3182232,15,.8390249,
1982,"CT",.3182232,15,.9657332,
1983,"CT",.3182232,15,1.059639,
1984,"CT",.3182232,15,1.183293,
1985,"CT",.3182232,15,1.147339,
1986,"CT",.3182232,15,1.394113,
1987,"CT",.3182232,15,1.481755,
1988,"CT",.3182232,15,2.030136,
1989,"CT",.3182232,15,2.175206,
1990,"CT",.3182232,15,3.231421,
1991,"CT",.3182232,15,5.675394,
1992,"CT",.3182232,15,7.788345,
1993,"CT",.3182232,15,10.41179,
1994,"CT",.3182232,15,12.33401,
1995,"CT",.3182232,15,14.73718,
1996,"CT",.3182232,15,17.27517,
1997,"CT",.3182232,15,19.21021,
1998,"CT",.3182232,15,20.79868,
1999,"CT",.3182232,15,23.59568,
2000,"CT",.3182232,15,24.87304,
2001,"CT",.3182232,15,25.15318,
2002,"CT",.3182232,15,25.82998,
2003,"CT",.3182232,15,26.23704,
2004,"CT",.3182232,15,27.32972,
2005,"CT",.3182232,15,27.74134,48
2006,"CT",.3182232,15,27.51126,
2007,"CT",.3182232,15,27.91465,
2008,"CT",.3182232,15,28.6223,
2009,"CT",.3182232,15,28.10608,
2010,"CT",.3182232,15,28.07618,
1880,"DE",.4411083,12,,
1900,"DE",.4411083,12,,
1920,"DE",.4411083,12,,
1929,"DE",.4411083,12,,
1930,"DE",.4411083,12,,
1931,"DE",.4411083,12,,
1932,"DE",.4411083,12,,
1933,"DE",.4411083,12,,
1934,"DE",.4411083,12,,
1935,"DE",.4411083,12,,
1936,"DE",.4411083,12,,
1937,"DE",.4411083,12,,
1938,"DE",.4411083,12,,
1939,"DE",.4411083,12,,
1940,"DE",.4411083,12,3.717472,
1941,"DE",.4411083,12,3.67033,
1942,"DE",.4411083,12,2.446887,
1943,"DE",.4411083,12,1.835165,
1944,"DE",.4411083,12,1.468132,
1945,"DE",.4411083,12,1.223443,
1946,"DE",.4411083,12,1.048666,
1947,"DE",.4411083,12,.9175826,
1948,"DE",.4411083,12,.8156289,
1949,"DE",.4411083,12,.7340661,
1950,"DE",.4411083,12,.3623188,
1951,"DE",.4411083,12,.3021148,
1952,"DE",.4411083,12,.3021148,
1953,"DE",.4411083,12,.3021148,
1954,"DE",.4411083,12,.5738539,
1955,"DE",.4411083,12,.5738539,
1956,"DE",.4411083,12,.5738539,
1957,"DE",.4411083,12,.8085957,
1958,"DE",.4411083,12,1.270489,
1959,"DE",.4411083,12,1.270489,
1960,"DE",.4411083,12,1.270489,
1961,"DE",.4411083,12,1.402214,
1962,"DE",.4411083,12,1.828653,
1963,"DE",.4411083,12,2.035693,
1964,"DE",.4411083,12,2.166368,
1965,"DE",.4411083,12,2.363607,
1966,"DE",.4411083,12,2.751203,
1967,"DE",.4411083,12,2.516462,
1968,"DE",.4411083,12,2.241834,
1969,"DE",.4411083,12,2.612204,
1970,"DE",.4411083,12,2.975621,
1971,"DE",.4411083,12,2.718708,
1972,"DE",.4411083,12,2.292269,
1973,"DE",.4411083,12,3.12136,
1974,"DE",.4411083,12,3.06191,
1975,"DE",.4411083,12,3.034521,
1976,"DE",.4411083,12,2.815628,
1977,"DE",.4411083,12,3.319981,
1978,"DE",.4411083,12,3.132715,
1979,"DE",.4411083,12,2.929337,
1980,"DE",.4411083,12,2.73401,
1981,"DE",.4411083,12,2.892669,
1982,"DE",.4411083,12,3.059573,
1983,"DE",.4411083,12,2.188607,
1984,"DE",.4411083,12,2.336187,
1985,"DE",.4411083,12,2.813295,
1986,"DE",.4411083,12,4.238066,
1987,"DE",.4411083,12,4.518708,
1988,"DE",.4411083,12,5.445176,
1989,"DE",.4411083,12,6.94922,
1990,"DE",.4411083,12,7.677233,
1991,"DE",.4411083,12,8.366418,
1992,"DE",.4411083,12,9.494617,
1993,"DE",.4411083,12,10.32042,
1994,"DE",.4411083,12,10.38734,
1995,"DE",.4411083,12,10.83667,
1996,"DE",.4411083,12,9.648064,
1997,"DE",.4411083,12,9.661485,
1998,"DE",.4411083,12,9.521041,
1999,"DE",.4411083,12,8.495174,
2000,"DE",.4411083,12,9.125067,
2001,"DE",.4411083,12,9.859755,
2002,"DE",.4411083,12,10.4253,
2003,"DE",.4411083,12,12.12381,
2004,"DE",.4411083,12,13.61257,
2005,"DE",.4411083,12,14.52775,46
2006,"DE",.4411083,12,18.42887,
2007,"DE",.4411083,12,20.0394,
2008,"DE",.4411083,12,20.83732,
2009,"DE",.4411083,12,22.54712,
2010,"DE",.4411083,12,22.68822,
1880,"FL",.3222491,12,,
1900,"FL",.3222491,12,,
1920,"FL",.3222491,12,,
1929,"FL",.3222491,12,,
1930,"FL",.3222491,12,,
1931,"FL",.3222491,12,,
1932,"FL",.3222491,12,,
1933,"FL",.3222491,12,,
1934,"FL",.3222491,12,,
1935,"FL",.3222491,12,,
1936,"FL",.3222491,12,,
1937,"FL",.3222491,12,,
1938,"FL",.3222491,12,,
1939,"FL",.3222491,12,,
1940,"FL",.3222491,12,.5221932,
1941,"FL",.3222491,12,.5076449,
1942,"FL",.3222491,12,.3384299,
1943,"FL",.3222491,12,.2538224,
1944,"FL",.3222491,12,.203058,
1945,"FL",.3222491,12,.169215,
1946,"FL",.3222491,12,.1450414,
1947,"FL",.3222491,12,.1269112,
1948,"FL",.3222491,12,.11281,
1949,"FL",.3222491,12,.101529,
1950,"FL",.3222491,12,.0848968,
1951,"FL",.3222491,12,.0691442,
1952,"FL",.3222491,12,.1324955,
1953,"FL",.3222491,12,.1929185,
1954,"FL",.3222491,12,.1929185,
1955,"FL",.3222491,12,.2196065,
1956,"FL",.3222491,12,.2196065,
1957,"FL",.3222491,12,.2196065,
1958,"FL",.3222491,12,.3059996,
1959,"FL",.3222491,12,.3891943,
1960,"FL",.3222491,12,.3536071,
1961,"FL",.3222491,12,.3391231,
1962,"FL",.3222491,12,.3673804,
1963,"FL",.3222491,12,.3069575,
1964,"FL",.3222491,12,.3588516,
1965,"FL",.3222491,12,.3657545,
1966,"FL",.3222491,12,.3821372,
1967,"FL",.3222491,12,.3821372,
1968,"FL",.3222491,12,.3268338,
1969,"FL",.3222491,12,.2586971,
1970,"FL",.3222491,12,.3025224,
1971,"FL",.3222491,12,.3113706,
1972,"FL",.3222491,12,.2995457,
1973,"FL",.3222491,12,.3878503,
1974,"FL",.3222491,12,.4561914,
1975,"FL",.3222491,12,.5747958,
1976,"FL",.3222491,12,.6504162,
1977,"FL",.3222491,12,.7854152,
1978,"FL",.3222491,12,.8857379,
1979,"FL",.3222491,12,1.113537,
1980,"FL",.3222491,12,1.181502,
1981,"FL",.3222491,12,1.290933,
1982,"FL",.3222491,12,1.335297,
1983,"FL",.3222491,12,1.460949,
1984,"FL",.3222491,12,1.467526,
1985,"FL",.3222491,12,1.500335,
1986,"FL",.3222491,12,1.571177,
1987,"FL",.3222491,12,1.586212,
1988,"FL",.3222491,12,1.576687,
1989,"FL",.3222491,12,1.44461,
