statefip,skill,basePop,netMig,lr,lincShared
"Kentucky",1,10008,0,9.671881,9.211987
"Kentucky",1,7866,.2130561,8.849179,8.707107
"Kentucky",0,86006,-1.960116,8.309663,8.707107
"Kentucky",1,3900,.9786411,9.577971,8.620345
"Kentucky",0,36973,.3743302,8.096798,8.620345
"Kentucky",0,62734,-4.421038,8.396725,8.837211
"Kentucky",1,10846,-.021745,9.086403,8.837211
"Kentucky",0,79341,-3.270837,7.987806,8.392462
"Kentucky",1,6478,-.8156702,8.825955,8.392462
"Kentucky",1,25702,-.1795002,9.720515,9.069817
"Kentucky",0,110231,-.7334496,8.284387,9.069817
"Kentucky",1,44630,.5525343,10.03735,10.053
"Kentucky",0,150471,.5135801,9.694546,10.053
"Kentucky",1,14793,.2496598,10.17958,10.17311
"Kentucky",0,65316,2.261918,9.952866,10.17311
"Kentucky",1,26281,0,9.75022,9.63295
"Kentucky",0,74771,1.812928,9.21947,9.63295
"Kentucky",0,149321,-2.857437,8.780592,9.118326
"Kentucky",1,15687,-.5781538,9.94276,9.118326
"Kentucky",1,11306,.2021854,9.629459,9.230726
"Kentucky",0,99978,-.3306854,9.019016,9.230726
"Louisiana",0,52383,1.900611,8.622293,9.09497
"Louisiana",1,9334,1.782329,9.918603,9.09497
"Louisiana",0,48624,.3445748,9.434483,9.76854
"Louisiana",1,19576,4.545455,9.978492,9.76854
"Louisiana",0,91365,-2.24318,8.188299,8.939028
"Louisiana",1,18167,-.5313516,9.628353,8.939028
"Louisiana",1,7992,.3652835,9.601453,8.751686
"Louisiana",0,74136,.1595071,8.201262,8.751686
"Louisiana",0,69453,1.185559,8.606927,9.039409
"Louisiana",1,14558,-1.464094,9.665099,9.039409
"Louisiana",1,21326,1.723791,10.16711,9.462605
"Louisiana",0,88142,2.038038,8.994981,9.462605
"Louisiana",0,224437,-1.28067,9.540289,9.959651
"Louisiana",1,64318,-.3809458,10.21517,9.959651
"Louisiana",1,11069,.5411597,9.657043,9.130588
"Louisiana",0,99804,1.869707,8.755157,9.130588
"Louisiana",1,10431,1.700343,9.992172,9.238718
"Louisiana",0,67318,-1.147282,8.802756,9.238718
"Louisiana",0,29861,2.519292,8.309051,8.685593
"Louisiana",1,5387,-.6014525,9.206226,8.685593
