skill,basePop,netMig,lr,lincShared
1,314411,-1.62342,11.393,11.18193
1,7419,2.036525,11.27219,11.01354
0,57741,4.759055,10.7562,11.01354
1,10003,.5160816,11.50835,11.07153
0,74286,2.683624,10.82029,11.07153
0,61718,14.68946,10.59021,10.88586
1,9578,4.683292,11.09183,10.88586
1,7300,1.359275,11.25565,10.9546
0,52732,8.55044,10.7088,10.9546
1,35719,-11.7318,11.22134,11.12595
0,46860,-.506182,10.75741,11.12595
1,12447,2.578274,11.41524,11.17466
0,54497,6.964029,10.85777,11.17466
1,9745,5.750276,11.32279,11.17196
0,61069,20.16692,10.97974,11.17196
1,12800,22.85136,11.55028,11.26223
0,44015,21.44152,10.86872,11.26223
1,5073,4.951107,11.40472,11.15986
0,41866,16.75579,10.93125,11.15986
0,45987,8.971242,10.76607,11.06151
1,6659,2.133116,11.41213,11.06151
0,273638,-6.146808,10.83369,11.53124
1,198965,.6976257,11.67984,11.53124
0,231986,-.6868743,10.84575,11.36117
1,145958,-.5720424,11.47855,11.36117
1,136351,4.611157,11.69031,11.55336
0,194065,2.991683,11.0631,11.55336
1,22124,.5647881,11.0946,11.1547
0,100931,3.460242,10.96006,11.1547
1,104365,5.655522,11.50205,11.44006
0,192124,8.904883,11.0752,11.44006
0,52255,6.18764,11.00637,11.27877
1,12390,2.869518,11.51377,11.27877
1,9312,8.889991,11.6582,11.3361
0,41093,24.9995,11.07384,11.3361
0,72609,5.436213,10.91479,11.18105
1,17049,1.345111,11.37837,11.18105
0,47670,16.62622,11.01734,11.34954
1,15796,11.02322,11.44536,11.34954
0,86266,9.229685,11.02139,11.41836
1,27194,6.585581,11.70719,11.41836
1,12330,.332,11.4052,11.05371
0,75923,3.664464,10.80577,11.05371
1,6484,2.444298,11.22157,10.95118
0,42078,5.368395,10.65327,10.95118
1,23195,-3.130274,11.36911,11.03607
0,80502,-3.482261,10.71024,11.03607
0,38912,4.807551,10.90053,11.30365
1,15440,5.193921,11.54794,11.30365
0,45832,.6501343,10.7412,10.92627
1,5542,-.1732394,11.11101,10.92627
